network_load,relay_reputation,budget_utilization,recent_win_rate,prob_p_win,explanation
0.1,0.4,0.16,0.15,0.004590960000000001,"{'timestamp': 1760866780.1664276, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.16), 'recent_win_rate': np.float64(0.15)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004590960000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.16), 'effect': 'multiply prob by 0.888 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.15), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.16,0.2,0.004590960000000001,"{'timestamp': 1760866780.1664586, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.16), 'recent_win_rate': np.float64(0.2)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004590960000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.16), 'effect': 'multiply prob by 0.888 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.2), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.16,0.25,0.004590960000000001,"{'timestamp': 1760866780.1664855, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.16), 'recent_win_rate': np.float64(0.25)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004590960000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.16), 'effect': 'multiply prob by 0.888 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.25), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.16,0.3,0.004590960000000001,"{'timestamp': 1760866780.1665125, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.16), 'recent_win_rate': np.float64(0.3)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004590960000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.16), 'effect': 'multiply prob by 0.888 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.3), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.26,0.0,0.008458119915418803,"{'timestamp': 1760866780.1665425, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.26), 'recent_win_rate': 1e-09}, 'base_prob': 0.01, 'final_prob': np.float64(0.008458119915418803), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.26), 'effect': 'multiply prob by 0.818 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': 1e-09, 'effect': 'multiply prob by 1.000 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.26,0.05,0.0042290600000000015,"{'timestamp': 1760866780.1665688, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.26), 'recent_win_rate': np.float64(0.05)}, 'base_prob': 0.01, 'final_prob': np.float64(0.0042290600000000015), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.26), 'effect': 'multiply prob by 0.818 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.26,0.1,0.0042290600000000015,"{'timestamp': 1760866780.1666842, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.26), 'recent_win_rate': np.float64(0.1)}, 'base_prob': 0.01, 'final_prob': np.float64(0.0042290600000000015), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.26), 'effect': 'multiply prob by 0.818 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.26,0.15,0.0042290600000000015,"{'timestamp': 1760866780.1667268, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.26), 'recent_win_rate': np.float64(0.15)}, 'base_prob': 0.01, 'final_prob': np.float64(0.0042290600000000015), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.26), 'effect': 'multiply prob by 0.818 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.15), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.26,0.2,0.0042290600000000015,"{'timestamp': 1760866780.166754, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.26), 'recent_win_rate': np.float64(0.2)}, 'base_prob': 0.01, 'final_prob': np.float64(0.0042290600000000015), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.26), 'effect': 'multiply prob by 0.818 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.2), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.26,0.25,0.0042290600000000015,"{'timestamp': 1760866780.1667802, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.26), 'recent_win_rate': np.float64(0.25)}, 'base_prob': 0.01, 'final_prob': np.float64(0.0042290600000000015), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.26), 'effect': 'multiply prob by 0.818 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.25), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.26,0.3,0.0042290600000000015,"{'timestamp': 1760866780.166806, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.26), 'recent_win_rate': np.float64(0.3)}, 'base_prob': 0.01, 'final_prob': np.float64(0.0042290600000000015), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.26), 'effect': 'multiply prob by 0.818 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.3), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.37,0.0,0.007661939923380602,"{'timestamp': 1760866780.1668365, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.37), 'recent_win_rate': 1e-09}, 'base_prob': 0.01, 'final_prob': np.float64(0.007661939923380602), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.37), 'effect': 'multiply prob by 0.741 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': 1e-09, 'effect': 'multiply prob by 1.000 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.37,0.05,0.003830970000000001,"{'timestamp': 1760866780.1668649, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.37), 'recent_win_rate': np.float64(0.05)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003830970000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.37), 'effect': 'multiply prob by 0.741 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.37,0.1,0.003830970000000001,"{'timestamp': 1760866780.166891, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.37), 'recent_win_rate': np.float64(0.1)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003830970000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.37), 'effect': 'multiply prob by 0.741 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.37,0.15,0.003830970000000001,"{'timestamp': 1760866780.1669168, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.37), 'recent_win_rate': np.float64(0.15)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003830970000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.37), 'effect': 'multiply prob by 0.741 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.15), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.37,0.2,0.003830970000000001,"{'timestamp': 1760866780.1669452, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.37), 'recent_win_rate': np.float64(0.2)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003830970000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.37), 'effect': 'multiply prob by 0.741 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.2), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.37,0.25,0.003830970000000001,"{'timestamp': 1760866780.1669724, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.37), 'recent_win_rate': np.float64(0.25)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003830970000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.37), 'effect': 'multiply prob by 0.741 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.25), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.37,0.3,0.003830970000000001,"{'timestamp': 1760866780.167002, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.37), 'recent_win_rate': np.float64(0.3)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003830970000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.37), 'effect': 'multiply prob by 0.741 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.3), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.48,0.0,0.0068657599313424016,"{'timestamp': 1760866780.1670296, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.48), 'recent_win_rate': 1e-09}, 'base_prob': 0.01, 'final_prob': np.float64(0.0068657599313424016), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.48), 'effect': 'multiply prob by 0.664 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': 1e-09, 'effect': 'multiply prob by 1.000 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.48,0.05,0.003432880000000001,"{'timestamp': 1760866780.1670554, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.48), 'recent_win_rate': np.float64(0.05)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003432880000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.48), 'effect': 'multiply prob by 0.664 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.48,0.1,0.003432880000000001,"{'timestamp': 1760866780.1670809, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.48), 'recent_win_rate': np.float64(0.1)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003432880000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.48), 'effect': 'multiply prob by 0.664 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.48,0.15,0.003432880000000001,"{'timestamp': 1760866780.1671073, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.48), 'recent_win_rate': np.float64(0.15)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003432880000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.48), 'effect': 'multiply prob by 0.664 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.15), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.48,0.2,0.003432880000000001,"{'timestamp': 1760866780.1671355, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.48), 'recent_win_rate': np.float64(0.2)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003432880000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.48), 'effect': 'multiply prob by 0.664 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.2), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.48,0.25,0.003432880000000001,"{'timestamp': 1760866780.167168, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.48), 'recent_win_rate': np.float64(0.25)}, 'base_prob': 0.01, 'final_prob': np.float64(0.003432880000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.48), 'effect': 'multiply prob by 0.664 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.25), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
